LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (бу)
-0.68212012,-0.50206778,-0.75796616,1.460002745
-0.625495843,-0.416197254,-0.682139197,1.551700038
-0.738705838,-0.524747098,-0.776580135,1.593312541
-0.651705418,-0.419170257,-0.684913438,1.579454329
-0.681657038,-0.438621134,-0.702792268,1.520235379
-0.664957878,-0.432407207,-0.697131402,1.508615234
-0.630229919,-0.387439501,-0.654722207,1.525424846
-0.676594214,-0.503325794,-0.759013455,1.438310168
-0.617905617,-0.437029495,-0.7013468,1.390916397
-0.63628243,-0.451641682,-0.714501495,1.446521914
-0.591383281,-0.403834423,-0.670482896,1.373632633
-0.569389545,-0.35383886,-0.621312426,1.518436835
-0.428237824,-0.207905934,-0.459065545,1.611003786
-0.470784339,-0.290643907,-0.555096665,1.531465521
-0.394307508,-0.217908428,-0.471190685,1.531754221
-0.367109043,-0.187272506,-0.433594466,1.571342269
-0.403353411,-0.248005786,-0.506812491,1.529981892
-0.399325327,-0.231885026,-0.487892846,1.519148549
-0.408221119,-0.239398046,-0.496756021,1.472345286
-0.369357275,-0.234055855,-0.490462019,1.434181639
-0.418808207,-0.285818153,-0.549758871,1.416855314
-0.255844224,-0.124467236,-0.352139146,1.354138636
-0.036497983,0.044899635,-0.100102191,1.417483202
-0.164642943,-0.031576524,-0.219991649,1.411744496
0.173341946,0.124239972,0.033513465,1.421955614
0.350523745,0.227299537,0.219892591,1.379588674
0.28327565,0.194171756,0.158602911,1.332572446
0.090143062,0.109125646,0.007331302,1.233201157
-0.129956216,-0.076073978,-0.285125618,1.301988287
-0.189462802,-0.110835497,-0.333649365,1.305324835
-0.079292634,-0.076806476,-0.286168955,1.197336586
-0.149619163,-0.111234371,-0.334194628,1.278413338
-0.078973849,-0.040804873,-0.23378905,1.299231889
-0.069232995,-0.030068858,-0.217722767,1.274265552
-0.074958282,-0.010630918,-0.18809298,1.332549143
-0.094160397,0.006547454,-0.161310814,1.350639938
-0.118362001,-0.043262233,-0.237437091,1.337043724
-0.088285281,-0.021853752,-0.20528626,1.296962428
-0.109679513,-0.066952411,-0.272056435,1.297069557
-0.030258795,0.012657549,-0.151646331,1.309310309
-0.189205477,-0.092304697,-0.308031649,1.339707881
-0.238681537,-0.127220886,-0.355838161,1.296856269
-0.275158149,-0.126895773,-0.355402056,1.203916145
-0.205211631,-0.048692937,-0.245460778,1.172040284
-0.187143172,-0.08387455,-0.29618967,1.141183609
-0.198621452,-0.114883815,-0.339171518,1.143341895
-0.283142262,-0.210458502,-0.462173515,1.194217533
-0.417083064,-0.295194364,-0.560100404,1.17198947
-0.524500241,-0.381771289,-0.649191722,1.251434037
-0.633065537,-0.469032598,-0.729824616,1.228075451
-0.539866246,-0.381456388,-0.648883233,1.203407038
-0.479353471,-0.307177158,-0.573139811,1.08842657
-0.427107497,-0.255581899,-0.515577371,1.001940914
-0.4076474,-0.25549645,-0.515478964,0.885083253
-0.416500859,-0.291923595,-0.556506724,0.822120599
-0.659884366,-0.581585936,-0.820853302,0.908547998
-0.491336322,-0.347910216,-0.615258954,0.939909411
-0.424003139,-0.287876185,-0.552039219,0.990169946
-0.427540154,-0.311655897,-0.577962531,1.04477343
-0.33025739,-0.229583925,-0.48516218,1.216823138
-0.297298759,-0.179528218,-0.42387305,1.201998658
-0.464248822,-0.299417551,-0.564718635,1.134783191
-0.529875146,-0.335045813,-0.60269875,1.193865398
-0.616393356,-0.442604429,-0.706396205,1.14637615
-0.735115567,-0.585504549,-0.823786141,1.136987112
-0.797326893,-0.670429352,-0.883879605,1.160965981
-0.7943044,-0.682171573,-0.891699911,1.185434052
-0.839159318,-0.751401158,-0.935663246,1.128918421
-0.883292762,-0.839332382,-0.9832451,1.120034122
-0.864805428,-0.804915212,-0.967390859,1.083190659
-0.810760158,-0.693804742,-0.899339071,1.088339669
-0.803045664,-0.684821732,-0.893449593,1.132639794
-0.82488139,-0.737090935,-0.926861068,1.110499765
-0.910553894,-0.901136268,-1.01257521,1.145228635
-0.915735031,-0.884221845,-1.005333271,1.183818696
-0.941809951,-0.991680317,-1.041281263,1.174407488
-0.882984378,-0.867652508,-0.997665414,1.118066792
-0.781427228,-0.649100191,-0.869383779,1.140795548
-0.707607764,-0.575460068,-0.816238499,1.197883722
-0.654184793,-0.489356345,-0.747284668,1.201126896
-0.719069823,-0.572308565,-0.813850022,1.141286531
-0.525867032,-0.345221815,-0.612497996,1.202293507
-0.377570821,-0.182178604,-0.427210082,1.263403404
-0.395871431,-0.195176343,-0.443424956,1.277452572
-0.521570981,-0.342611146,-0.609807298,1.194754151
-0.12212479,0.000845425,-0.17026386,1.196481654
0.164625704,0.182152422,0.136670844,1.231817051
0.196094202,0.203208442,0.175202009,1.216482654
0.233530639,0.244681828,0.252513066,1.230261247
0.330900646,0.274851017,0.309817112,1.201721934
0.267845512,0.204952821,0.178416766,1.210418352
0.406083866,0.312589397,0.38259895,1.188076848
0.474471806,0.319622066,0.396283645,1.152514569
0.813697143,0.535072015,0.817664727,1.116439946
0.94553898,0.647317375,1.043067229,1.117834571
1.192363607,0.797561206,1.269457772,1.091795969
1.186039286,0.767837531,1.230829596,1.085477274
0.969568439,0.6096144,0.973176083,1.094374196
0.868699015,0.583847012,0.922095894,1.112979439
0.819900139,0.56268909,0.878064972,1.133996227
