Wspd,Wdir,Ndir
0.162083243,-0.156041243,-0.873222911
0.189515285,-0.110243664,-0.904268705
0.230663347,-0.073554996,-0.904268705
0.184028876,-0.032564899,-0.904268705
0.142880814,-0.081145755,-0.904268705
0.326675492,-0.028010443,-0.904268705
0.307473063,-0.125931232,-0.904268705
0.236149755,-0.142630902,-0.904268705
0.184028876,-0.134787118,-0.904268705
0.354107533,-0.170969735,-0.904268705
0.280041021,-0.109990639,-0.929303637
0.310216267,-0.091013742,-0.951302154
0.351364329,-0.152498888,-0.951302154
0.356850737,-0.088230464,-0.951302154
0.417201228,-0.069506592,-0.951302154
0.433660453,-0.118846524,-0.984764687
0.334905104,-0.135040143,-1.016058352
0.348621125,0.021582514,-1.045369052
0.348621125,-0.071277769,-1.017359673
0.271811409,-0.131497789,-0.998335603
0.214204122,-0.095568197,-0.998335603
0.356850737,-0.090760717,-1.025043662
0.477551719,-0.072795921,-1.045369052
0.642143967,-0.081398781,-1.082115871
0.590023089,0.006654022,-1.092464469
0.790276991,0.014750831,-1.081991935
0.886289136,-0.05508415,-1.045307085
1.001503709,-0.12340098,-1.045183149
1.0618542,-0.170463684,-1.045183149
1.04813818,-0.134787118,-1.045183149
1.075570221,-0.131244764,-1.045183149
0.919207585,-0.167427381,-1.045183149
0.688778438,-0.094050045,-1.045183149
0.600995905,-0.109990639,-1.045183149
0.661346396,-0.104930133,-1.079699132
0.666832805,-0.051288771,-1.092216598
0.680548825,-0.150474686,-1.109195735
0.96858526,-0.138835522,-1.165958106
1.476078025,-0.064699111,-1.222596541
1.983570791,-0.109990639,-1.18089231
2.153649447,-0.067482389,-1.18089231
1.989057199,-0.142124851,-1.18089231
1.939679524,-0.103411981,-1.18089231
1.904017871,-0.030034646,-1.18089231
2.104271773,-0.043698012,-1.18089231
2.167365468,-0.058120454,-1.18089231
2.046664486,-0.064446086,-1.18089231
1.824464951,-0.076085249,-1.18089231
1.646156682,-0.139088548,-1.180706407
1.544658129,-0.090001641,-1.212557781
1.443159576,-0.053565998,-1.228359533
1.495280454,-0.003720015,-1.228359533
1.824464951,0.011967553,-1.203448536
1.813492134,-0.093037944,-1.18064444
2.17559508,-0.125931232,-1.18064444
1.742168827,-0.127955435,-1.18064444
1.57209017,-0.057108352,-1.18064444
1.640670273,-0.053819023,-1.18064444
1.60500862,-0.043698012,-1.150961934
1.566603762,0.017787135,-1.167011556
