Wspd,Wdir,Patv
0.162083243,-0.156041243,0.010986212
0.189515285,-0.110243664,0.037384463
0.230663347,-0.073554996,0.094673912
0.184028876,-0.032564899,0.036685172
0.142880814,-0.081145755,-0.010779233
0.326675492,-0.028010443,0.16848412
0.307473063,-0.125931232,0.121684042
0.236149755,-0.142630902,0.027209773
0.184028876,-0.134787118,-0.043715858
0.354107533,-0.170969735,0.155757016
0.280041021,-0.109990639,0.088240431
0.310216267,-0.091013742,0.12411408
0.351364329,-0.152498888,0.169812774
0.356850737,-0.088230464,0.210581463
0.417201228,-0.069506592,0.327013482
0.433660453,-0.118846524,0.399127909
0.334905104,-0.135040143,0.247294262
0.348621125,0.021582514,0.284531529
0.348621125,-0.071277769,0.330737209
0.271811409,-0.131497789,0.228448358
0.214204122,-0.095568197,0.154463327
0.356850737,-0.090760717,0.309181551
0.477551719,-0.072795921,0.477903086
0.642143967,-0.081398781,0.716711102
0.590023089,0.006654022,0.66230623
0.790276991,0.014750831,0.979767047
0.886289136,-0.05508415,1.134118144
1.001503709,-0.12340098,1.257997617
1.0618542,-0.170463684,1.312979404
1.04813818,-0.134787118,1.208417856
1.075570221,-0.131244764,1.215096089
0.919207585,-0.167427381,0.958735858
0.688778438,-0.094050045,0.630383577
0.600995905,-0.109990639,0.455193597
0.661346396,-0.104930133,0.561153728
0.666832805,-0.051288771,0.582621974
0.680548825,-0.150474686,0.57379342
0.96858526,-0.138835522,1.102387796
1.476078025,-0.064699111,1.727117258
1.983570791,-0.109990639,1.837692712
2.153649447,-0.067482389,1.855996664
1.989057199,-0.142124851,1.856136523
1.939679524,-0.103411981,1.855716948
1.904017871,-0.030034646,1.856223934
2.104271773,-0.043698012,1.855891771
2.167365468,-0.058120454,1.855751912
2.046664486,-0.064446086,1.855174997
1.824464951,-0.076085249,1.855140032
1.646156682,-0.139088548,1.855454714
1.544658129,-0.090001641,1.829336179
1.443159576,-0.053565998,1.782885748
1.495280454,-0.003720015,1.799598812
1.824464951,0.011967553,1.855594572
1.813492134,-0.093037944,1.819336312
2.17559508,-0.125931232,1.855297373
1.742168827,-0.127955435,1.850140099
1.57209017,-0.057108352,1.783759862
1.640670273,-0.053819023,1.844458356
1.60500862,-0.043698012,1.78695912
1.566603762,0.017787135,1.810839922
1.519969291,-0.041926835,1.800682714
1.336174614,-0.088483489,1.668009652
1.105745467,-0.026998342,1.405180976
0.985044485,-0.014094052,1.28901119
0.653116784,-0.052806922,0.841324831
0.858857094,-0.05078272,0.970623812
0.724440092,-0.048252467,0.799140077
0.686035234,0.007666123,0.73031232
0.513213373,-0.09379702,0.514650849
0.36508035,0.094453799,0.244322273
0.45834929,-0.059638605,0.473934607
0.568077456,-0.047493391,0.625768254
0.57082066,-0.073301971,0.577499665
0.540645414,-0.062421884,0.509598469
0.167569652,0.01753411,0.154480809
0.540645414,-0.088736514,0.562971886
0.387025983,-0.065458187,0.370019904
0.203231305,0.009943351,0.145512397
0.068814303,-0.138835522,-0.07670493
0.203231305,-0.126184258,-0.054275158
0.088016732,0.015762933,-0.024974848
0.008463812,-0.367823414,-0.761940581
0.038639057,-0.053059948,-0.854334459
0.038639057,-1.164094016,-0.854316976
-0.441421667,-1.632949887,-0.854316976
-0.638932365,-0.636536277,-0.854316976
0.208717714,-0.806569275,-0.854316976
-0.208249315,-0.689924614,-0.854316976
-0.49628575,-0.81922054,-0.854316976
0.068814303,-1.13752636,-0.854316976
-1.530473709,-0.29115675,-0.853792508
-1.530473709,-0.293940028,-0.853792508
-0.208249315,-1.090969706,-0.853792508
-0.792551796,-0.692454867,-0.853792508
0.167569652,-0.083676008,-0.853792508
-0.386557584,-0.45840647,-0.853792508
-0.378327972,-1.133984006,-0.853792508
-0.189046886,0.179470298,-0.391910533
-0.356382339,-0.018395482,-0.319079332
-0.0656027,-0.2696496,-0.282995896
-0.929712003,-0.043698012,-0.756853236
-0.424962442,0.707028037,-0.850680661
-0.367355155,-0.297735407,-0.5339541
-0.658134794,0.093947749,-0.646959591
-0.397530401,-0.110243664,-0.554233551
-0.482569729,0.06535589,-0.497853181
-0.625216344,-0.167933431,-0.616243216
-0.798038205,0.001593516,-0.733094811
-0.301518256,-0.08519416,-0.438780539
-0.397530401,-0.043191961,-0.456070519
-0.501772158,0.053210676,-0.533010056
-0.466110504,-0.235997236,-0.576121372
-0.479826525,-0.014853128,-0.527170973
-0.200019703,-0.051288771,-0.373256934
-0.54292022,0.026389995,-0.55147135
